population	links	index	origin_mean	origing_error	destination_mean	destination_error
1449354	8000	0	0.00427218	0.000381172	0.000520601	0.000126544
1449354	8000	1	0.0111063	0.000115452	0.00111964	5.82861e-05
1449354	8000	2	0.0101342	0.000230622	0.000913439	4.61645e-05
1449354	8000	3	0.00464888	8.67693e-05	0.00075744	6.65742e-05
1449354	8000	4	0.0117172	0.000145601	0.001118	7.93416e-05
1449354	8000	5	0.017702	0.000174649	0.00121933	0.00012319
1449354	8000	6	0.0230269	0.000141408	0.00113732	7.53302e-05
1449354	8000	7	0.0218935	0.000144139	0.0011312	9.94758e-05
1449354	8000	8	0.0430559	0.000250176	0.00137282	5.1398e-05
1449354	8000	9	0.0112066	0.000123109	0.000980042	7.38336e-05
1449354	8000	10	0.0450048	0.000245047	0.00212248	0.000121417
1449354	8000	11	0.116211	0.000822567	0.00185857	0.000107586
1449354	8000	12	0.00966938	0.000140261	0.000913973	9.77803e-05
1449354	8000	13	0.00973779	0.000306511	0.000872391	0.000161806
1449354	8000	14	0.00760229	0.000145557	0.00105485	0.000143787
1449354	8000	15	0.0103153	0.000125456	0.00100895	8.82232e-05
1449354	8000	16	0.012466	0.000104166	0.00121619	6.61479e-05
1449354	8000	17	0.0172909	0.000155043	0.00109441	8.94853e-05
1449354	8000	18	0.0169832	0.00019264	0.00105264	9.75092e-05
1449354	8000	19	0.019562	0.000154391	0.00117383	6.22722e-05
1449354	8000	20	0.0124443	0.000143802	0.000954255	0.000110394
1449354	8000	21	0.00892833	0.000102736	0.000960546	8.74959e-05
1449354	8000	22	0.00261462	8.3267e-05	0.00065705	5.36694e-05
1449354	8000	23	0.00798629	0.000115081	0.000881731	5.01039e-05
1449354	8000	24	0.0168959	0.000283028	0.00104433	0.000166462
1449354	8000	25	0.00583678	9.08699e-05	0.000688627	9.64329e-05
1449354	8000	26	0.00371239	8.82315e-05	0.000715738	7.78498e-05
1449354	8000	27	0.00352619	7.04813e-05	0.00070037	5.53461e-05
1449354	8000	28	0.00861783	0.000240063	0.000909108	6.24707e-05
1449354	8000	29	0.00620009	7.88142e-05	0.000889286	5.72035e-05
1449354	8000	30	0.00452042	9.53133e-05	0.000732612	6.91453e-05
1449354	8000	31	0.00436997	8.18486e-05	0.000739789	5.00176e-05
1449354	8000	32	0.00432157	8.70128e-05	0.000821505	8.45113e-05
1449354	8000	33	0.00350268	9.86699e-05	0.000793536	0.000115593
1449354	8000	34	0.00392223	5.8905e-05	0.000694675	7.15042e-05
1449354	8000	35	0.00645765	0.00011574	0.000806633	7.7263e-05
1449354	8000	36	0.0106183	8.49588e-05	0.00106823	9.48797e-05
1449354	8000	37	0.0055223	0.000107314	0.000809365	8.14137e-05
1449354	8000	38	0.00458262	6.8897e-05	0.000728977	6.11589e-05
1449354	8000	39	0.00446655	0.000115991	0.00084559	4.05374e-05
1449354	8000	40	0.00510566	7.31491e-05	0.000805848	7.54248e-05
1449354	8000	41	0.00375193	6.80816e-05	0.000897939	4.89254e-05
1449354	8000	42	0.0103851	0.000117208	0.00103657	8.90526e-05
1449354	8000	43	0.00462876	8.84777e-05	0.000806738	6.65861e-05
1449354	8000	44	0.0032879	0.000107653	0.000735784	8.03942e-05
1449354	8000	45	0.00578533	0.00013469	0.000907543	7.44872e-05
1449354	8000	46	0.00979316	0.000227127	0.000747209	9.92521e-05
1449354	8000	47	0.008277	0.000131214	0.00113604	9.28007e-05
1449354	8000	48	0.00444382	0.00011881	0.000804822	7.21235e-05
1449354	8000	49	0.0105546	9.74476e-05	0.00106672	5.014e-05
1449354	8000	50	0.00980091	0.00018677	0.000937998	0.000103682
1449354	8000	51	0.0051066	8.34326e-05	0.000733697	5.26713e-05
1449354	8000	52	0.00927043	0.000454446	0.000953778	0.000118197
1449354	8000	53	0.0168165	0.000215815	0.000883609	0.000103629
1449354	8000	54	0.00451334	0.000134338	0.000573085	0.000212991
1449354	8000	55	0.00902349	8.89481e-05	0.000875301	5.02988e-05
1449354	8000	56	0.00723477	0.000176098	0.000868706	7.83807e-05
1449354	8000	57	0.0042824	6.72473e-05	0.000784825	7.58915e-05
1449354	8000	58	0.00847894	0.000124148	0.000886295	3.97863e-05
1449354	8000	59	0.0114585	8.03798e-05	0.000947773	5.90439e-05
1449354	8000	60	0.0136443	0.000253468	0.000892555	0.000125037
1449354	8000	61	0.0113836	0.000172575	0.000914235	6.80236e-05
1449354	8000	62	0.00853014	0.000119662	0.000814573	5.29406e-05
1449354	8000	63	0.0125245	0.000120822	0.000899139	7.75588e-05
1449354	8000	64	0.0120858	0.000171589	0.000867091	9.62106e-05
1449354	8000	65	0.0136597	0.000163421	0.000913769	0.000114465
1449354	8000	66	0.0168934	0.000164812	0.000919882	6.79451e-05
1449354	8000	67	0.00600294	0.000158674	0.000935486	7.76478e-05
1449354	8000	68	0.00720369	8.97139e-05	0.000871804	8.71516e-05
1449354	8000	69	0.00456202	7.26414e-05	0.000798975	7.4218e-05
1449354	8000	70	0.0150212	0.000124384	0.000928832	5.51912e-05
1449354	8000	71	0.0125856	0.0001312	0.000872395	8.11161e-05
1449354	8000	72	0.0196559	0.000185411	0.000947259	0.000171698
1449354	8000	73	0.00393498	0.000102206	0.000598744	5.9904e-05
1449354	8000	74	0.00333195	9.19878e-05	0.000588032	6.69835e-05
1449354	8000	75	0.00297242	0.000104845	0.000546667	0.000101507
1449354	8000	76	0.00516307	0.000203737	0.000440506	0.000248583
1449354	8000	77	0.000568182	0.00067033	0.000325521	0.000638021
1449354	8000	78	0.00245589	0.000129894	0.000645748	8.77252e-05
1449354	8000	79	0.00283384	6.70777e-05	0.000666327	6.62436e-05
1449354	8000	80	0.00241071	6.15639e-05	0.000616508	6.19331e-05
1449354	8000	81	0.00228461	7.33126e-05	0.000631521	5.52939e-05
1449354	8000	82	0.0035096	8.66085e-05	0.000797095	5.52815e-05
1449354	8000	83	0.0028296	0.000112534	0.000669207	4.46874e-05
1449354	8000	84	0.00236175	6.09706e-05	0.000557722	7.78967e-05
1449354	8000	85	0.00312259	0.000113703	0.000581007	5.48484e-05
1449354	8000	86	0.00396469	0.000147936	0.000668271	6.58381e-05
1449354	8000	87	0.00323112	9.0683e-05	0.000680248	8.97726e-05
1449354	8000	88	0.00204882	8.31866e-05	0.000620937	7.15903e-05
1449354	8000	89	0.00263276	9.2023e-05	0.00060272	7.45782e-05
1449354	8000	90	0.00201948	8.83955e-05	0.000684936	5.0355e-05
1449354	8000	91	0.00325561	9.97689e-05	0.000589771	4.91894e-05
1449354	8000	92	0.00225452	0.000125261	0.000601645	7.53406e-05
1449354	8000	93	0.00258677	0.000127384	0.000514663	9.03484e-05
1449354	8000	94	0.0030488	7.45436e-05	0.000643022	3.41011e-05
1449354	8000	95	0.00307452	5.97422e-05	0.000621949	5.41073e-05
1449354	8000	96	0.00261848	9.50377e-05	0.000630055	0.000110473
1449354	8000	97	0.00397326	0.00010867	0.000685273	6.71831e-05
1449354	8000	98	0.00302067	6.6708e-05	0.000675953	6.12479e-05
1449354	8000	99	0.00373731	0.000101526	0.000736458	6.45583e-05
1449354	8000	100	0.00338768	0.000124555	0.000794714	5.04602e-05
1449354	8000	101	0.00374431	8.19554e-05	0.000586049	9.23044e-05
1449354	8000	102	0.00461041	0.000106228	0.000690583	8.93923e-05
1449354	8000	103	0.00500046	8.45632e-05	0.000626209	0.000106413
1449354	8000	104	0.00268517	5.70348e-05	0.000612828	6.93139e-05
1449354	8000	105	0.00409156	0.000124688	0.000640558	6.26107e-05
1449354	8000	106	0.00467627	9.8134e-05	0.00072219	9.518e-05
1449354	8000	107	0.00371975	8.35961e-05	0.000658005	6.87554e-05
1449354	8000	108	0.0062041	0.000117979	0.000691187	7.42377e-05
1449354	8000	109	0.00466185	0.000118413	0.000606639	6.57924e-05
1449354	8000	110	0.00408909	7.0312e-05	0.000608303	7.0947e-05
1449354	8000	111	0.00333868	5.04381e-05	0.00063648	4.66119e-05
1449354	8000	112	0.00371592	0.000118938	0.000702642	0.000142317
1449354	8000	113	0.00170016	0.000115134	0.00051506	7.66458e-05
1449354	8000	114	0.00474293	0.000112877	0.000689571	5.64487e-05
