population	links	index	origin_mean	origing_error	destination_mean	destination_error
591979	4000	0	0.000480406	0.000136689	0.000458625	0.000121474
591979	4000	1	0.000520869	3.2657e-05	0.000500991	5.01185e-05
591979	4000	2	0.000506293	0.000106285	0.000531456	4.37936e-05
591979	4000	3	0.000512357	3.97042e-05	0.000418978	5.19606e-05
591979	4000	4	0.000494628	5.14447e-05	0.000501065	5.92623e-05
591979	4000	5	0.000514584	6.66036e-05	0.000402015	7.43596e-05
591979	4000	6	0.000582251	3.73851e-05	0.000480623	6.17149e-05
591979	4000	7	0.00058085	5.13641e-05	0.000472958	7.65314e-05
591979	4000	8	0.000580164	6.84092e-05	0.000486376	3.45589e-05
591979	4000	9	0.000517243	3.54304e-05	0.000469384	4.02039e-05
591979	4000	10	0.000613127	5.8721e-05	0.000688492	6.0474e-05
591979	4000	11	0.000763732	0.000105981	0.000664647	6.54044e-05
591979	4000	12	0.000511299	5.04297e-05	0.000408457	9.57905e-05
591979	4000	13	0.000540178	0.000132211	0.000496222	0.00013391
591979	4000	14	0.000491696	5.69938e-05	0.000424514	0.000103247
591979	4000	15	0.000554059	4.71973e-05	0.000456376	7.3599e-05
591979	4000	16	0.000539321	3.68457e-05	0.000554483	5.54363e-05
591979	4000	17	0.000518089	4.32515e-05	0.000445686	6.76099e-05
591979	4000	18	0.000495736	5.30256e-05	0.000480108	5.7691e-05
591979	4000	19	0.000523312	4.36029e-05	0.000430691	3.73453e-05
591979	4000	20	0.000537401	3.53147e-05	0.000401598	8.85076e-05
591979	4000	21	0.000548335	4.2698e-05	0.000482662	6.04816e-05
591979	4000	22	0.000476077	5.3701e-05	0.0004638	5.15125e-05
591979	4000	23	0.000481585	6.12196e-05	0.000440865	4.82751e-05
591979	4000	24	0.000627442	0.000102304	0.000464996	0.000149506
591979	4000	25	0.00054053	7.03679e-05	0.000487385	7.23196e-05
591979	4000	26	0.000483478	4.53206e-05	0.000458806	5.42179e-05
591979	4000	27	0.000498475	4.18989e-05	0.00049417	4.82549e-05
591979	4000	28	0.000514446	9.77509e-05	0.000502587	4.57615e-05
591979	4000	29	0.000521045	5.16271e-05	0.000495459	4.62666e-05
591979	4000	30	0.000468519	5.73461e-05	0.00047192	6.00285e-05
591979	4000	31	0.000471886	3.46686e-05	0.00049435	5.32604e-05
591979	4000	32	0.00050277	4.83025e-05	0.000512023	6.36822e-05
591979	4000	33	0.000510221	5.64677e-05	0.000410034	6.5831e-05
591979	4000	34	0.000511432	5.10421e-05	0.000516553	6.91601e-05
591979	4000	35	0.000550974	5.06731e-05	0.000503583	4.92952e-05
591979	4000	36	0.000529669	3.49073e-05	0.000458631	6.60478e-05
591979	4000	37	0.00053749	5.96913e-05	0.00049845	4.72297e-05
591979	4000	38	0.00051058	3.96593e-05	0.000433372	3.07817e-05
591979	4000	39	0.000458859	5.05226e-05	0.000498971	3.21725e-05
591979	4000	40	0.000483949	3.66938e-05	0.000507972	6.44858e-05
591979	4000	41	0.000500754	5.14207e-05	0.000541214	3.69179e-05
591979	4000	42	0.000514954	6.24843e-05	0.000484657	5.27816e-05
591979	4000	43	0.000552455	6.54299e-05	0.000529545	5.36899e-05
591979	4000	44	0.00044965	4.62408e-05	0.000461113	7.28653e-05
591979	4000	45	0.000555146	5.86866e-05	0.000486346	7.93135e-05
591979	4000	46	0.00045026	9.11051e-05	0.000439118	8.66435e-05
591979	4000	47	0.000511565	9.38173e-05	0.000656241	8.74466e-05
