population	links	index	origin_mean	origing_error	destination_mean	destination_error
1131191	8000	0	0.0265349	0.000322169	0.00198739	0.000115812
1131191	8000	1	0.0275291	0.000452944	0.00205299	0.000107109
1131191	8000	2	0.0268742	0.000394565	0.00199479	0.000154646
1131191	8000	3	0.0242907	0.000542027	0.00218706	0.000117026
1131191	8000	4	0.0255396	0.000482381	0.00215064	0.000220836
1131191	8000	5	0.0181657	0.000282314	0.00191682	8.97391e-05
1131191	8000	6	0.0123816	0.000880492	0.00136364	0.000577574
1131191	8000	7	0.0467185	0.000772517	0.00209267	0.000183607
1131191	8000	8	0.0195243	0.000273005	0.00209728	0.000100314
1131191	8000	9	0.103024	0.00193635	0.20391	0.0090355
1131191	8000	10	0.0334348	0.000344864	0.00232706	0.000161778
1131191	8000	11	0.0320507	0.000331842	0.00234889	0.000109985
1131191	8000	12	0.0270024	0.000745259	0.00180681	0.000341647
1131191	8000	13	0.0177079	0.000145986	0.00174022	0.000103751
1131191	8000	14	0.0591895	0.000626735	0.00233015	0.000145483
1131191	8000	15	0.0334992	0.000595742	0.00253555	0.000525859
1131191	8000	16	0.01724	0.000306846	0.00198306	0.000165243
1131191	8000	17	0.0681971	0.00111824	0.00266241	0.000275269
1131191	8000	18	0.0266898	0.000412092	0.00205368	0.000169055
1131191	8000	19	0.026792	0.0004386	0.00216746	0.000186915
1131191	8000	20	0.0262657	0.000420289	0.00196473	0.000120976
1131191	8000	21	0.0354393	0.000679591	0.00210769	0.00018013
1131191	8000	22	0.0282696	0.000510104	0.00224014	0.000242463
1131191	8000	23	0.0254392	0.00040257	0.0022084	0.00042763
1131191	8000	24	0.0299399	0.000330417	0.00228228	8.53954e-05
1131191	8000	25	0.0198428	0.000481761	0.00192255	0.000342171
1131191	8000	26	0.0362972	0.000399779	0.00237675	8.65453e-05
1131191	8000	27	0.0408266	0.000492105	0.00269873	0.000162587
1131191	8000	28	0.0387942	0.0004071	0.00258456	0.000220699
1131191	8000	29	0.0371327	0.000274173	0.00213515	0.000294428
1131191	8000	30	0.027414	0.000457022	0.00268849	0.000365688
1131191	8000	31	0.0192832	0.000487822	0.00178349	0.00017776
1131191	8000	32	0.0180558	0.000317214	0.00189708	0.000194853
1131191	8000	33	0.0104167	0.000470636	0.00160908	0.000342633
1131191	8000	34	0.01562	0.000274035	0.00177631	0.000172019
1131191	8000	35	0.0169546	0.000333219	0.00161203	0.000133742
1131191	8000	36	0.0152938	0.000335871	0.00184322	0.000180902
1131191	8000	37	0.0165154	0.000416294	0.00160256	0.000307435
1131191	8000	38	0.0399376	0.000492139	0.00219888	0.00028384
1131191	8000	39	0.0210842	0.000304133	0.00205946	0.000152464
1131191	8000	40	0.0198413	0.00307394	0	0
1131191	8000	41	0.0399408	0.00453762	0.00320513	0.00628205
1131191	8000	42	0.0137426	0.000683882	0.00161787	0.000309445
1131191	8000	43	0.0164805	0.000365607	0.00166082	0.000265875
1131191	8000	44	0.0131164	0.000362493	0.00151062	0.000320267
1131191	8000	45	0.0223652	0.00026518	0.00200811	0.000121081
1131191	8000	46	0.0146298	0.000460857	0.00166806	0.00020612
1131191	8000	47	0.0164485	0.000299789	0.00164916	0.000146976
1131191	8000	48	0.0147339	0.00054146	0.00172081	0.000189537
1131191	8000	49	0.014055	0.000465495	0.00206538	0.000161182
1131191	8000	50	0.0140319	0.000232504	0.00160836	0.000131816
1131191	8000	51	0.0139558	0.000387492	0.00139933	0.000193705
1131191	8000	52	0.0136728	0.000185138	0.00185396	6.36302e-05
1131191	8000	53	0.0138008	0.000323153	0.00172308	0.000194613
1131191	8000	54	0.0124292	0.000325106	0.00158063	0.000241865
