population	links	EPT	error
446555	2474	60.9583	0.583714
585388	3711	33.1667	3.39823
775706	4948	27.6667	0.347318
931453	6185	26.25	0.358816
1.06359e+06	7423	25.7917	0.235341
1.20235e+06	8660	25.5417	0.235341
1.32897e+06	9897	25.2083	0.353525
1.46987e+06	11134	24.9583	0.249689
1.56204e+06	12371	24.5833	0.201486
1.68668e+06	13608	24.75	0.212688
1.78044e+06	14846	24.75	0.270322
1.90347e+06	16083	24.6667	0.280844
2.00974e+06	17320	24.5833	0.201486
2.11475e+06	18557	24.2083	0.235341
2.21375e+06	19794	24.2917	0.249689
2.32206e+06	21032	24.2917	0.220059
2.41804e+06	22269	24.1667	0.280844
2.5123e+06	23506	24.125	0.245
2.67202e+06	24743	24.25	0.243218
2.79075e+06	25980	24.0417	0.220059
2.86265e+06	27217	24.0417	0.185761
2.9544e+06	28455	23.9583	0.185761
3.13932e+06	29692	24.125	0.179408
3.23567e+06	30929	23.9583	0.249689
3.30808e+06	32166	24.0417	0.220059
3.39825e+06	33403	24.125	0.179408
3.49589e+06	34640	23.7083	0.249689
3.61602e+06	35878	23.9167	0.233485
3.73221e+06	37115	23.9583	0.185761
3.8102e+06	38352	23.8333	0.152309
3.93657e+06	39589	23.7083	0.185761
4.05069e+06	40826	24	0.166846
4.12481e+06	42064	23.875	0.271926
