population	links	EPT	error
446555	2474	59.0417	1.43759
585388	3711	45.2917	0.741286
775706	4948	39.4583	0.577722
931453	6185	37.375	0.469139
1.06359e+06	7423	35.8333	0.419887
1.20235e+06	8660	34.6667	0.436147
1.32897e+06	9897	34.1667	0.385315
1.46987e+06	11134	33.8333	0.419887
1.56204e+06	12371	33.3333	0.326667
1.68668e+06	13608	33.125	0.413976
1.78044e+06	14846	33.0417	0.433145
1.90347e+06	16083	32.5	0.333693
2.00974e+06	17320	32.0417	0.363234
2.11475e+06	18557	32.7083	0.381913
2.21375e+06	19794	32.0833	0.310277
2.32206e+06	21032	31.9583	0.300304
2.41804e+06	22269	32.375	0.497925
2.5123e+06	23506	32.0417	0.276159
2.67202e+06	24743	31.875	0.296416
2.79075e+06	25980	31.4167	0.407267
2.86265e+06	27217	31.5	0.353934
2.9544e+06	28455	31.6667	0.326667
3.13932e+06	29692	31.3333	0.304618
3.23567e+06	30929	31.1667	0.347318
3.30808e+06	32166	31.2083	0.263257
3.39825e+06	33403	31.0833	0.310277
3.49589e+06	34640	31.2083	0.288484
3.61602e+06	35878	31.4167	0.33195
3.73221e+06	37115	31.0833	0.33195
3.8102e+06	38352	31.0417	0.363234
3.93657e+06	39589	31.125	0.340148
4.05069e+06	40826	31.1667	0.280844
4.12481e+06	42064	31.125	0.245
