population	links	tests	time	error
30764	163	1000	8.5	0.114009
102321	327	1000	8.625	0.115667
136595	491	1000	8.66667	0.116214
193660	654	1000	9	0.1205
206570	818	1000	9.04167	0.121088
247381	982	1000	9.375	0.125693
278360	1145	1000	9.70833	0.130131
306487	1309	1000	10	0.133889
313731	1473	1000	10	0.133889
325120	1636	1000	10	0.133889
379035	1800	1000	10.3333	0.1385
395083	1964	1000	10.5417	0.141304
403923	2127	1000	10.6667	0.142959
417638	2291	1000	10.75	0.144051
438829	2455	1000	10.8333	0.145135
461092	2618	1000	11	0.147277
471025	2782	1000	10.9583	0.146745
482752	2946	1000	11	0.147277
497718	3109	1000	11.0417	0.14786
501265	3273	1000	11.0833	0.148441
540724	3437	1000	11.3333	0.151876
572522	3600	1000	11.7917	0.157974
600625	3764	1000	11.8333	0.158516
633221	3928	1000	11.9583	0.160131
642678	4091	1000	12	0.160666
672148	4255	1000	12	0.160666
688325	4419	1000	12.125	0.162402
706261	4582	1000	12.2083	0.163549
738126	4746	1000	12.4583	0.166941
773774	4910	1000	12.75	0.17081
779259	5073	1000	12.7917	0.171355
814421	5237	1000	13	0.174055
840944	5401	1000	12.9167	0.17298
858290	5564	1000	13	0.174055
892610	5728	1000	13.0833	0.175211
903477	5892	1000	13.1667	0.17636
912762	6055	1000	13.1667	0.17636
933985	6219	1000	13.25	0.1775
944566	6383	1000	13.5	0.180878
959106	6546	1000	13.6667	0.183094
974134	6710	1000	13.6667	0.183094
990086	6874	1000	13.5833	0.181989
1011196	7037	1000	13.8333	0.185282
1030383	7201	1000	13.8333	0.185282
1053100	7365	1000	13.9583	0.186906
1075276	7528	1000	13.9583	0.186906
1089072	7692	1000	14	0.187444
1123942	7856	1000	14.0833	0.188597
1131460	8019	1000	14.2083	0.190314
1151886	8183	1000	14.2083	0.190314
1164910	8347	1000	14.375	0.192578
1192114	8511	1000	14.4167	0.193139
1208669	8674	1000	14.5833	0.195369
1245868	8838	1000	14.6667	0.196475
1260398	9002	1000	14.7917	0.198121
1267030	9165	1000	14.875	0.19921
1288696	9329	1000	15	0.200833
1301142	9493	1000	14.9583	0.200293
1311875	9656	1000	14.9583	0.200293
1323233	9820	1000	15	0.200871
1342555	9984	1000	15.0417	0.201409
1376835	10147	1000	15.0417	0.201409
1394551	10311	1000	15.125	0.202556
1413967	10475	1000	15.25	0.204265
1424622	10638	1000	15.2083	0.203697
1431853	10802	1000	15.375	0.205959
1449180	10966	1000	15.375	0.205959
1469766	11129	1000	15.3333	0.205396
1478654	11293	1000	15.5833	0.208751
1492502	11457	1000	15.75	0.210957
1508533	11620	1000	15.6667	0.209857
1523545	11784	1000	15.875	0.212596
1536204	11948	1000	15.8333	0.212051
1546399	12111	1000	16	0.214222
1555595	12275	1000	15.875	0.212596
1571862	12439	1000	16	0.214222
1587018	12602	1000	15.9167	0.213139
1604280	12766	1000	16	0.214222
1612707	12930	1000	16	0.214258
1621980	13093	1000	16	0.214222
1645803	13257	1000	16	0.214258
1662754	13421	1000	16.0417	0.214797
1682638	13584	1000	16.1667	0.216513
1704443	13748	1000	16.25	0.217649
1723931	13912	1000	16.375	0.219342
1742800	14075	1000	16.25	0.217649
1751565	14239	1000	16.4583	0.220463
1758270	14403	1000	16.4167	0.219903
1769258	14566	1000	16.5	0.221021
1777100	14730	1000	16.625	0.222687
1781713	14894	1000	16.4167	0.219903
1796639	15057	1000	16.625	0.222687
1805131	15221	1000	16.5417	0.221578
1838272	15385	1000	16.6667	0.22324
1853183	15548	1000	16.7917	0.224889
1870135	15712	1000	16.9167	0.226526
1879039	15876	1000	16.875	0.225982
1896877	16039	1000	16.9167	0.226526
1909858	16203	1000	17	0.22761
1918728	16367	1000	17.0417	0.228185
1932422	16530	1000	16.9583	0.227069
1950392	16694	1000	17	0.22761
1965048	16858	1000	17.0833	0.228757
1986617	17022	1000	17.0833	0.228757
2002828	17185	1000	17.0417	0.228185
2011336	17349	1000	17.25	0.231033
2028065	17513	1000	17.0833	0.228757
2042372	17676	1000	17.25	0.231033
2055590	17840	1000	17.2083	0.230466
2072367	18004	1000	17.3333	0.232162
2086771	18167	1000	17.3333	0.232162
2099348	18331	1000	17.4167	0.233286
2112224	18495	1000	17.5417	0.234961
2123431	18658	1000	17.625	0.236071
2130449	18822	1000	17.4167	0.233286
2142294	18986	1000	17.5417	0.234961
2160590	19149	1000	17.75	0.237725
2174212	19313	1000	17.75	0.237725
2185337	19477	1000	17.75	0.237725
2197413	19640	1000	17.75	0.237725
2215105	19804	1000	17.8333	0.238822
2239763	19968	1000	18	0.240999
2249248	20131	1000	17.875	0.239368
2262344	20295	1000	17.9167	0.239913
2271594	20459	1000	17.9583	0.240457
2285825	20622	1000	17.9583	0.240457
2298920	20786	1000	18	0.241031
2306151	20950	1000	18.0417	0.241604
2329112	21113	1000	18	0.241031
2340790	21277	1000	18.0417	0.241573
2353204	21441	1000	18.0417	0.241573
2363553	21604	1000	18.0417	0.241604
2372462	21768	1000	18.125	0.242715
2383534	21932	1000	18.0417	0.241573
2406932	22095	1000	18.4583	0.247229
2417857	22259	1000	18.2083	0.243851
2427098	22423	1000	18.2083	0.243851
2435615	22586	1000	18.3333	0.245546
2443682	22750	1000	18.2917	0.244983
2453676	22914	1000	18.375	0.246108
2465233	23077	1000	18.25	0.244418
2482308	23241	1000	18.4583	0.247229
2495552	23405	1000	18.5	0.247787
2518771	23568	1000	18.625	0.249454
2540520	23732	1000	18.625	0.249454
2550970	23896	1000	18.875	0.252755
2563557	24059	1000	18.875	0.252755
2575658	24223	1000	18.75	0.25111
2603235	24387	1000	18.7917	0.25166
2644165	24550	1000	18.9167	0.2533
2670219	24714	1000	19.0417	0.254961
2681861	24878	1000	19	0.254388
2696180	25041	1000	19	0.254388
2707792	25205	1000	19.0833	0.255532
2723197	25369	1000	19	0.254419
2749440	25533	1000	19.0833	0.255562
2760627	25696	1000	19.0833	0.255532
2780227	25860	1000	19.1667	0.25667
2793035	26024	1000	19.2083	0.257237
2798191	26187	1000	19.0833	0.255532
2806359	26351	1000	19.1667	0.25667
2814047	26515	1000	19.2083	0.257237
2822442	26678	1000	19.2917	0.258367
2834831	26842	1000	19.1667	0.2567
2850907	27006	1000	19.4583	0.260613
2860433	27169	1000	19.4167	0.260054
2872228	27333	1000	19.4583	0.260613
2887755	27497	1000	19.5417	0.261728
2896794	27660	1000	19.4167	0.260054
2908906	27824	1000	19.5833	0.262284
2920161	27988	1000	19.625	0.262839
2928833	28151	1000	19.75	0.264496
2938385	28315	1000	19.625	0.262839
2958514	28479	1000	19.75	0.264496
3004093	28642	1000	19.8333	0.265594
3019193	28806	1000	19.875	0.266142
3034711	28970	1000	20	0.267777
3047785	29133	1000	19.9167	0.266688
3088448	29297	1000	20.0417	0.268349
3107050	29461	1000	20	0.267806
3134413	29624	1000	20.2083	0.270623
3161513	29788	1000	20.0833	0.268919
3170645	29952	1000	20.2083	0.270623
3182495	30115	1000	20.25	0.271188
3194808	30279	1000	20.25	0.271188
3207253	30443	1000	20.25	0.271217
3222669	30606	1000	20.2083	0.270623
3229786	30770	1000	20.0833	0.268948
3236202	30934	1000	20.2083	0.270623
3245600	31097	1000	20.1667	0.270056
3258047	31261	1000	20.1667	0.270056
3265991	31425	1000	20.4583	0.273998
3272178	31588	1000	20.3333	0.272316
3282117	31752	1000	20.4583	0.273998
3292387	31916	1000	20.2917	0.271753
3304432	32079	1000	20.5417	0.275113
3311354	32243	1000	20.4167	0.273438
3323896	32407	1000	20.5833	0.275669
3336035	32570	1000	20.5	0.274556
3348250	32734	1000	20.4583	0.273998
3361947	32898	1000	20.5833	0.275669
3375660	33061	1000	20.625	0.276224
3385817	33225	1000	20.5833	0.275669
3397658	33389	1000	20.7917	0.278431
3402358	33552	1000	20.5833	0.275669
3408735	33716	1000	20.6667	0.276777
3417695	33880	1000	20.6667	0.276777
3425670	34044	1000	20.8333	0.278981
3442212	34207	1000	20.8333	0.278981
3460456	34371	1000	20.9167	0.280131
3489464	34535	1000	21.0833	0.282334
3502517	34698	1000	20.9583	0.280621
3523864	34862	1000	20.9583	0.280649
3548075	35026	1000	21	0.281166
3562584	35189	1000	21.0833	0.282307
3579756	35353	1000	21.125	0.282875
3586239	35517	1000	20.9583	0.280621
3595563	35680	1000	21.125	0.282903
3614887	35844	1000	21.0833	0.282334
3622104	36008	1000	21.0833	0.282307
3629575	36171	1000	21.0833	0.282307
3642248	36335	1000	21.0833	0.282307
3658126	36499	1000	21.1667	0.283443
3674466	36662	1000	21.2083	0.284009
3691991	36826	1000	21.25	0.284574
3724511	36990	1000	21.4583	0.287383
3733695	37153	1000	21.6667	0.290163
3742116	37317	1000	21.3333	0.285701
3750809	37481	1000	21.3333	0.285701
3762752	37644	1000	21.4583	0.287383
3774597	37808	1000	21.75	0.291267
3784892	37972	1000	21.5	0.287941
3794621	38135	1000	21.6667	0.290163
3805523	38299	1000	21.5417	0.288498
3818821	38463	1000	21.75	0.291267
3835540	38626	1000	21.6667	0.290163
3866934	38790	1000	21.6667	0.290189
3891024	38954	1000	21.8333	0.292367
3898345	39117	1000	21.7917	0.291818
3906062	39281	1000	21.875	0.292916
3927627	39445	1000	21.8333	0.292367
3937997	39608	1000	21.9167	0.293516
3949633	39772	1000	21.9167	0.293463
3957129	39936	1000	21.9583	0.294009
3967966	40099	1000	21.9167	0.293463
3996359	40263	1000	22.0417	0.295125
4004929	40427	1000	22.0417	0.295125
4027316	40590	1000	21.9583	0.294009
4042077	40754	1000	22.125	0.296263
4062960	40918	1000	22	0.294555
4070299	41081	1000	22.125	0.296263
4080887	41245	1000	22.125	0.296289
4087004	41409	1000	22.1667	0.29683
4106549	41572	1000	22.0417	0.295125
4114554	41736	1000	22.2083	0.297395
4118388	41900	1000	22.1667	0.29683
4124809	42064	1000	22.0833	0.295694
