zcta zcta_index
20008 0
20016 1
20024 2
20003 3
20373 4
20032 5
20002 6
20018 7
20017 8
20011 9
20012 10
20317 11
20020 12
20001 13
20009 14
20007 15
20036 16
20005 17
20506 18
20245 19
20004 20
20006 21
20240 22
20405 23
20045 24
20230 25
20010 26
20037 27
20566 28
20520 29
20551 30
20418 31
20427 32
20052 33
20390 34
20307 35
20510 36
20540 37
20593 38
20565 39
20202 40
20053 41
20204 42
20319 43
20535 44
20560 45
20228 46
20260 47
20553 48
20064 49
20019 50
20015 51
20057 52
