i: 152, j: 324, I: 21, J: 52
i: 156, j: 321, I: 21, J: 52
i: 155, j: 329, I: 21, J: 97
i: 243, j: 324, I: 21, J: 97
i: 243, j: 327, I: 21, J: 97
i: 156, j: 326, I: 21, J: 97
i: 156, j: 329, I: 21, J: 97
i: 243, j: 790, I: 21, J: 97
i: 156, j: 790, I: 21, J: 97
i: 155, j: 790, I: 21, J: 97
i: 152, j: 324, I: 21, J: 97
i: 124, j: 324, I: 22, J: 52
i: 125, j: 325, I: 22, J: 52
i: 168, j: 329, I: 22, J: 52
i: 166, j: 322, I: 22, J: 52
i: 125, j: 324, I: 22, J: 52
i: 166, j: 324, I: 22, J: 52
i: 126, j: 326, I: 22, J: 52
i: 126, j: 329, I: 22, J: 52
i: 166, j: 329, I: 22, J: 52
i: 167, j: 326, I: 22, J: 52
i: 124, j: 323, I: 22, J: 52
i: 124, j: 330, I: 22, J: 97
i: 124, j: 324, I: 22, J: 97
i: 168, j: 790, I: 22, J: 97
i: 168, j: 329, I: 22, J: 97
i: 126, j: 326, I: 22, J: 97
i: 126, j: 329, I: 22, J: 97
i: 167, j: 326, I: 22, J: 97
i: 125, j: 324, I: 22, J: 97
i: 168, j: 327, I: 22, J: 97
i: 166, j: 329, I: 22, J: 97
i: 166, j: 324, I: 22, J: 97
i: 126, j: 329, I: 23, J: 52
i: 126, j: 326, I: 23, J: 52
i: 126, j: 329, I: 23, J: 97
i: 126, j: 326, I: 23, J: 97
i: 738, j: 329, I: 24, J: 52
i: 125, j: 325, I: 24, J: 52
i: 125, j: 324, I: 24, J: 52
i: 130, j: 323, I: 24, J: 52
i: 130, j: 324, I: 24, J: 52
i: 128, j: 329, I: 24, J: 52
i: 128, j: 324, I: 24, J: 52
i: 126, j: 326, I: 24, J: 52
i: 124, j: 323, I: 24, J: 52
i: 126, j: 329, I: 24, J: 52
i: 124, j: 324, I: 24, J: 52
i: 738, j: 323, I: 24, J: 52
i: 128, j: 321, I: 24, J: 52
i: 738, j: 325, I: 24, J: 52
i: 130, j: 324, I: 24, J: 97
i: 125, j: 324, I: 24, J: 97
i: 738, j: 790, I: 24, J: 97
i: 126, j: 329, I: 24, J: 97
i: 124, j: 324, I: 24, J: 97
i: 130, j: 328, I: 24, J: 97
i: 124, j: 330, I: 24, J: 97
i: 128, j: 329, I: 24, J: 97
i: 126, j: 326, I: 24, J: 97
i: 738, j: 329, I: 24, J: 97
i: 128, j: 324, I: 24, J: 97
i: 159, j: 326, I: 27, J: 52
i: 160, j: 321, I: 27, J: 52
i: 132, j: 324, I: 27, J: 52
i: 160, j: 322, I: 27, J: 52
i: 128, j: 321, I: 27, J: 52
i: 160, j: 324, I: 27, J: 52
i: 128, j: 324, I: 27, J: 52
i: 127, j: 324, I: 27, J: 52
i: 155, j: 321, I: 27, J: 52
i: 128, j: 329, I: 27, J: 52
i: 155, j: 329, I: 27, J: 52
i: 133, j: 324, I: 27, J: 52
i: 155, j: 322, I: 27, J: 52
i: 155, j: 329, I: 27, J: 97
i: 132, j: 324, I: 27, J: 97
i: 160, j: 324, I: 27, J: 97
i: 160, j: 330, I: 27, J: 97
i: 128, j: 324, I: 27, J: 97
i: 159, j: 326, I: 27, J: 97
i: 127, j: 324, I: 27, J: 97
i: 155, j: 790, I: 27, J: 97
i: 133, j: 324, I: 27, J: 97
i: 127, j: 328, I: 27, J: 97
i: 128, j: 329, I: 27, J: 97
i: 133, j: 324, I: 28, J: 52
i: 159, j: 326, I: 28, J: 52
i: 160, j: 324, I: 28, J: 52
i: 160, j: 322, I: 28, J: 52
i: 160, j: 321, I: 28, J: 52
i: 155, j: 321, I: 28, J: 52
i: 155, j: 329, I: 28, J: 52
i: 155, j: 322, I: 28, J: 52
i: 155, j: 329, I: 28, J: 97
i: 159, j: 326, I: 28, J: 97
i: 133, j: 324, I: 28, J: 97
i: 155, j: 790, I: 28, J: 97
i: 160, j: 324, I: 28, J: 97
i: 160, j: 330, I: 28, J: 97
i: 128, j: 321, I: 29, J: 52
i: 132, j: 324, I: 29, J: 52
i: 128, j: 324, I: 29, J: 52
i: 128, j: 329, I: 29, J: 52
i: 160, j: 324, I: 29, J: 52
i: 160, j: 322, I: 29, J: 52
i: 160, j: 321, I: 29, J: 52
i: 127, j: 324, I: 29, J: 52
i: 126, j: 329, I: 29, J: 52
i: 126, j: 326, I: 29, J: 52
i: 132, j: 324, I: 29, J: 97
i: 160, j: 330, I: 29, J: 97
i: 127, j: 328, I: 29, J: 97
i: 127, j: 324, I: 29, J: 97
i: 126, j: 326, I: 29, J: 97
i: 126, j: 329, I: 29, J: 97
i: 128, j: 329, I: 29, J: 97
i: 128, j: 324, I: 29, J: 97
i: 160, j: 324, I: 29, J: 97
i: 134, j: 321, I: 30, J: 52
i: 155, j: 321, I: 30, J: 52
i: 153, j: 321, I: 30, J: 52
i: 734, j: 324, I: 30, J: 52
i: 734, j: 325, I: 30, J: 52
i: 154, j: 334, I: 30, J: 52
i: 155, j: 322, I: 30, J: 52
i: 133, j: 324, I: 30, J: 52
i: 155, j: 329, I: 30, J: 52
i: 734, j: 329, I: 30, J: 52
i: 734, j: 329, I: 30, J: 97
i: 734, j: 324, I: 30, J: 97
i: 734, j: 790, I: 30, J: 97
i: 155, j: 329, I: 30, J: 97
i: 133, j: 324, I: 30, J: 97
i: 155, j: 790, I: 30, J: 97
i: 738, j: 325, I: 32, J: 52
i: 738, j: 329, I: 32, J: 52
i: 136, j: 324, I: 32, J: 52
i: 736, j: 334, I: 32, J: 52
i: 136, j: 323, I: 32, J: 52
i: 737, j: 334, I: 32, J: 52
i: 738, j: 323, I: 32, J: 52
i: 736, j: 326, I: 32, J: 52
i: 736, j: 326, I: 32, J: 97
i: 737, j: 790, I: 32, J: 97
i: 738, j: 790, I: 32, J: 97
i: 737, j: 327, I: 32, J: 97
i: 736, j: 790, I: 32, J: 97
i: 136, j: 328, I: 32, J: 97
i: 738, j: 329, I: 32, J: 97
i: 136, j: 324, I: 32, J: 97
i: 737, j: 334, I: 33, J: 52
i: 136, j: 323, I: 33, J: 52
i: 80, j: 329, I: 33, J: 52
i: 79, j: 323, I: 33, J: 52
i: 78, j: 322, I: 33, J: 52
i: 738, j: 329, I: 33, J: 52
