population	links	time	detected	infected	error_detected	error_infected
74856	1000	95	106.542	6907.04	32.0154	502.275
74856	1000	96	98.4167	6762.88	29.7903	496.322
74856	1000	97	97.2917	6628.12	28.003	484.804
74856	1000	98	93.2917	6477.71	27.7904	474.974
74856	1000	99	90.4167	6325.88	29.9697	464.744
74856	1000	100	86.4583	6196.71	26.4597	458.007
74856	1000	101	80.9583	6055.58	25.1079	452.039
74856	1000	102	77.4583	5886.25	24.6405	437.609
74856	1000	103	70.0417	5775.62	25.2174	429.451
74856	1000	104	72.1667	5660.25	23.175	430.345
74856	1000	105	70.3333	5539	23.9611	421.865
74856	1000	106	67.4583	5426.79	23.0957	420.995
74856	1000	107	62.75	5288.38	21.5203	408.274
74856	1000	108	58.4167	5172.25	21.5993	406.605
74856	1000	109	58	5051.71	22.0009	401.941
74856	1000	110	53.7083	4928.75	20.422	395.47
74856	1000	111	54.8333	4813.58	21.443	389.454
74856	1000	112	52.625	4700.67	17.9396	383.583
74856	1000	113	48.5417	4581.58	17.4671	375.749
74856	1000	114	47.2083	4486.5	17.8166	372.196
74856	1000	115	44.7917	4385.12	16.0376	369.957
74856	1000	116	41.75	4295.75	15.9494	364.819
74856	1000	117	39.2917	4174.67	14.4274	363.083
74856	1000	118	38.8333	4078.88	14.0397	360.482
74856	1000	119	38.25	3981.21	12.6618	354.413
74856	1000	120	36.0417	3891.5	14.1098	354.973
74856	1000	121	33.9167	3801.75	11.8824	351.375
74856	1000	122	31.7917	3715.96	10.4335	349.209
74856	1000	123	31.3333	3642.29	10.468	338.492
74856	1000	124	31.9167	3568.5	10.9338	332.353
74856	1000	125	28.5	3487.17	7.96593	324.303
74856	1000	126	28.875	3404.67	9.7675	319.284
74856	1000	127	27.9167	3319.25	10.0669	319.128
74856	1000	128	25.9167	3239.04	7.72817	314.004
74856	1000	129	24.5	3163.17	7.55521	311.272
74856	1000	130	24.5	3077.58	6.385	302.465
74856	1000	131	22.5	3005.71	5.83724	290.093
74856	1000	132	22.7917	2934.25	6.02726	281.185
74856	1000	133	22.625	2869.58	5.63068	266.844
74856	1000	134	21.75	2790.92	5.65957	260.042
74856	1000	135	20.7917	2723.62	5.35467	254.733
74856	1000	136	18.75	2663.08	5.51635	247.106
74856	1000	137	19.7917	2606.62	5.3961	240.769
74856	1000	138	17.375	2531.54	4.7218	232.536
74856	1000	139	18.1667	2471.58	4.87817	226.549
74856	1000	140	17.0417	2406.79	4.11823	217.596
74856	1000	141	15.9583	2351.88	3.62191	209.669
74856	1000	142	16.4583	2307.58	3.26094	207.065
74856	1000	143	16.25	2255.46	4.01689	201.83
74856	1000	144	14.4583	2200.08	3.62287	197.148
74856	1000	145	15	2139.21	3.80468	194.743
74856	1000	146	14.7083	2087.75	3.40808	187.976
74856	1000	147	14.25	2043.04	4.26398	185.131
74856	1000	148	12.9167	2002.67	3.38027	181.853
74856	1000	149	12.9167	1955.29	2.79665	174.798
74856	1000	150	12.5833	1906.58	3.0627	169.564
74856	1000	151	11.75	1862.42	2.58006	167.746
74856	1000	152	10.9583	1822	2.35212	160.451
74856	1000	153	11.4167	1782.29	2.43194	156.283
74856	1000	154	11.3333	1745.33	2.34675	153.514
74856	1000	155	9.95833	1702.38	2.15768	150.232
74856	1000	156	10.9583	1661.08	2.29824	148.635
74856	1000	157	9.75	1629.92	2.31264	144.2
74856	1000	158	9.83333	1591.38	1.87532	143.755
74856	1000	159	9.04167	1561.42	1.66211	141.668
74856	1000	160	10.4167	1530.04	2.39445	137.83
74856	1000	161	9.625	1497.5	2.00845	134.039
74856	1000	162	9.16667	1473.54	2.15828	129.619
74856	1000	163	9.04167	1441.83	2.13824	127.929
74856	1000	164	8.91667	1415.75	1.98791	123.946
74856	1000	165	8.5	1380.04	2.12033	124.21
74856	1000	166	7.79167	1344.71	1.92409	120.416
74856	1000	167	7.875	1316.79	2.41873	121.405
