population	links	time	detected	infected	error_detected	error_infected
1.50317e+06	13000	0	1.91667	0	0.600608	0
1.50317e+06	13000	1	2.66667	59.2604	0.561688	22.7503
1.50317e+06	13000	2	2.08333	47.4201	0.485243	18.2078
1.50317e+06	13000	3	2.625	50.9271	0.57571	19.5561
1.50317e+06	13000	4	1.95833	51.2222	0.640559	19.6756
1.50317e+06	13000	5	2.29167	52.941	0.712564	20.3446
1.50317e+06	13000	6	3.66667	54.7743	0.970485	21.0577
1.50317e+06	13000	7	3.58333	57.6493	0.687081	22.1623
1.50317e+06	13000	8	4.625	60.5417	0.935028	23.2853
1.50317e+06	13000	9	4.66667	65.0278	0.823033	25.0252
1.50317e+06	13000	10	6.58333	70.3993	1.11872	27.0986
1.50317e+06	13000	11	8	76.9826	1.19735	29.66
1.50317e+06	13000	12	10.2917	85.2569	1.7518	32.8715
1.50317e+06	13000	13	12.25	95.9271	1.67782	37.0354
1.50317e+06	13000	14	14.25	108.274	1.70253	41.8651
1.50317e+06	13000	15	17.9167	124.674	3.10333	48.2618
1.50317e+06	13000	16	25.2083	145.219	3.25453	56.3654
1.50317e+06	13000	17	29.125	171.535	3.49644	66.7967
1.50317e+06	13000	18	37.0833	205.01	5.07432	79.9842
1.50317e+06	13000	19	49.375	247.149	6.17423	96.6984
1.50317e+06	13000	20	59.4583	300.792	8.14731	117.935
1.50317e+06	13000	21	79.9167	369.135	11.1193	145.148
1.50317e+06	13000	22	100.542	453.997	12.5717	178.857
1.50317e+06	13000	23	126.333	559.493	14.4472	220.998
1.50317e+06	13000	24	151.708	688.417	17.7315	272.125
1.50317e+06	13000	25	185.042	847.26	17.5079	334.708
1.50317e+06	13000	26	206.708	1035.31	16.9948	408.457
1.50317e+06	13000	27	211.583	1218.66	11.8601	478.114
1.50317e+06	13000	28	230	1322.18	10.6075	513.923
1.50317e+06	13000	29	237.958	1398.28	9.8711	539.681
1.50317e+06	13000	30	236.417	1465.52	9.39977	563.827
1.50317e+06	13000	31	238.958	1499.35	10.375	576.792
1.50317e+06	13000	32	238.667	1523.45	11.2863	586.169
1.50317e+06	13000	33	244.292	1541.52	10.983	593.449
1.50317e+06	13000	34	241.583	1554.39	12.1058	598.803
1.50317e+06	13000	35	238.875	1561.44	11.9771	601.843
1.50317e+06	13000	36	235.958	1565.78	16.1468	603.966
1.50317e+06	13000	37	240.958	1565.16	11.7301	604.176
1.50317e+06	13000	38	232.958	1560.88	14.6086	602.837
1.50317e+06	13000	39	228.542	1552.26	12.9497	599.772
1.50317e+06	13000	40	225.625	1541.89	14.0789	595.998
1.50317e+06	13000	41	218.583	1527.96	12.7301	590.896
1.50317e+06	13000	42	217.167	1512.15	13.7325	585.024
1.50317e+06	13000	43	214.5	1493.31	13.8095	577.932
1.50317e+06	13000	44	211.625	1473.12	14.2631	570.163
1.50317e+06	13000	45	200.375	1455.08	14.2986	563.133
1.50317e+06	13000	46	196.917	1431.24	11.3877	553.889
1.50317e+06	13000	47	200.667	1408.58	13.1468	545.064
1.50317e+06	13000	48	185.167	1386.89	11.7343	536.742
1.50317e+06	13000	49	183.75	1362.82	11.2657	527.467
1.50317e+06	13000	50	179.333	1338.42	9.8345	518.145
1.50317e+06	13000	51	174.083	1308.63	8.92348	506.507
1.50317e+06	13000	52	167.708	1283.82	10.6569	496.955
1.50317e+06	13000	53	163.667	1256.78	9.80544	486.378
1.50317e+06	13000	54	160.917	1231.44	10.547	476.512
1.50317e+06	13000	55	151.917	1203.64	9.62583	465.655
1.50317e+06	13000	56	145.708	1177.05	8.51773	455.22
1.50317e+06	13000	57	145.833	1150.4	8.70857	444.771
1.50317e+06	13000	58	144.167	1123.7	9.8825	434.377
1.50317e+06	13000	59	133.583	1097.93	7.71735	424.361
1.50317e+06	13000	60	132.958	1072.91	7.10859	414.636
1.50317e+06	13000	61	131.708	1046.47	7.35211	404.343
1.50317e+06	13000	62	127.208	1021.26	7.59103	394.471
1.50317e+06	13000	63	117.833	997.806	6.48307	385.298
1.50317e+06	13000	64	110.75	972.524	6.83281	375.53
1.50317e+06	13000	65	109.875	950.997	8.60862	367.096
1.50317e+06	13000	66	108.083	927.903	6.49728	358.063
1.50317e+06	13000	67	102.167	904.812	5.81534	349.187
1.50317e+06	13000	68	99.0417	884.049	6.63356	341.163
1.50317e+06	13000	69	99.625	863.618	6.1142	333.274
1.50317e+06	13000	70	96.4583	844.99	6.94968	326.112
1.50317e+06	13000	71	93.2083	823.899	6.28501	317.923
1.50317e+06	13000	72	87.9167	804.833	5.35329	310.589
1.50317e+06	13000	73	86.2083	786.816	6.40348	303.635
1.50317e+06	13000	74	86.8333	768.066	5.60696	296.397
1.50317e+06	13000	75	81.0833	750.312	3.99198	289.571
1.50317e+06	13000	76	82.2917	733.038	5.42633	282.913
1.50317e+06	13000	77	80.5833	715.351	6.62457	276.13
1.50317e+06	13000	78	76.7917	699.031	5.69112	269.91
1.50317e+06	13000	79	72.0833	682.587	6.8457	263.744
1.50317e+06	13000	80	70.0833	665.865	6.58453	257.437
1.50317e+06	13000	81	68	649.618	6.37846	251.242
1.50317e+06	13000	82	63.125	633.833	6.22083	245.319
1.50317e+06	13000	83	63.8333	617.247	6.58321	238.963
1.50317e+06	13000	84	63.5833	601.556	8.16688	233.055
1.50317e+06	13000	85	61.25	589.045	5.97772	228.347
1.50317e+06	13000	86	57.4167	573.878	6.75564	222.539
1.50317e+06	13000	87	57.7083	560.087	6.28778	217.286
1.50317e+06	13000	88	56.5	548.118	6.77014	212.734
1.50317e+06	13000	89	50.2917	535.434	6.89893	207.842
1.50317e+06	13000	90	51.3333	522.01	5.89969	202.802
1.50317e+06	13000	91	49.8333	508.632	6.03844	197.686
1.50317e+06	13000	92	47.0833	494.08	6.13704	192.165
