population	links	time	detected	infected	error_detected	error_infected
188361	2000	0	2.125	0	0.504865	0
188361	2000	1	2.70833	119.083	0.640559	43.6828
188361	2000	2	3.08333	96.2222	0.588907	35.2999
188361	2000	3	2.95833	102.715	0.75983	37.6958
188361	2000	4	3.5	103	0.906207	37.8042
188361	2000	5	5.16667	106.035	0.872294	38.9192
188361	2000	6	5.66667	109.299	1.46724	40.1349
188361	2000	7	7.33333	115.382	1.39926	42.3782
188361	2000	8	8.29167	121.188	1.74783	44.5463
188361	2000	9	11.5417	129.562	1.90957	47.6493
188361	2000	10	15.2083	138.868	2.54401	51.1181
188361	2000	11	18.875	152.194	4.2706	56.0738
188361	2000	12	22.625	168.188	4.77602	62.0339
188361	2000	13	31	190.674	6.49523	70.4039
188361	2000	14	42.2917	216.368	8.05323	79.9598
188361	2000	15	50.6667	248.403	10.8499	92.0526
188361	2000	16	68.4167	291.493	13.9184	108.142
188361	2000	17	95.25	343.333	20.1826	127.636
188361	2000	18	126	409.903	28.7043	152.885
188361	2000	19	163.917	495.868	34.8944	185.546
188361	2000	20	201.292	603.174	36.9822	226.444
188361	2000	21	238.208	734.819	39.3669	276.596
188361	2000	22	272.208	857.549	37.1071	321.811
188361	2000	23	294.625	991.049	38.6469	372.028
188361	2000	24	339.833	1110.09	40.4048	415.915
188361	2000	25	367.333	1202.51	42.0616	448.459
188361	2000	26	392.333	1310.12	44.4735	488.674
188361	2000	27	419.375	1391.72	46.9996	519.121
188361	2000	28	450.333	1467.92	45.8912	546.328
188361	2000	29	476.333	1550.1	47.454	576.507
188361	2000	30	505.292	1635.98	49.3891	608.6
188361	2000	31	528.125	1720.6	46.8414	641.257
188361	2000	32	547.5	1788.84	48.3106	666.214
188361	2000	33	574.583	1858.08	51.8507	692.293
188361	2000	34	582.167	1926.33	48.9886	717.564
188361	2000	35	592.5	1985.19	52.3678	740.067
188361	2000	36	587.958	2041.72	51.0531	761.36
188361	2000	37	601.833	2094.53	52.1894	781.552
188361	2000	38	608.083	2141.02	53.4408	799.486
188361	2000	39	611.792	2185.01	55.3158	816.499
188361	2000	40	611.708	2221.76	56.1512	830.78
188361	2000	41	597.958	2247.42	55.4988	840.791
188361	2000	42	587.458	2274.33	55.1073	850.965
188361	2000	43	582.167	2296.4	59.866	859.672
188361	2000	44	569.958	2311.64	57.7242	865.39
188361	2000	45	553.583	2324.47	57.8723	870.238
188361	2000	46	541.042	2325.5	60.798	870.553
188361	2000	47	528.417	2329.17	55.6408	871.46
188361	2000	48	505	2325.55	49.9197	869.29
188361	2000	49	490.625	2320.89	51.5417	867.035
188361	2000	50	475.5	2313.98	51.4447	863.485
188361	2000	51	456.208	2304.78	48.6639	859.094
188361	2000	52	444.125	2292.03	51.5031	853.889
188361	2000	53	425.917	2271.62	46.6128	845.425
188361	2000	54	406.792	2256.13	46.1658	838.628
188361	2000	55	396.292	2235.29	45.8729	829.986
188361	2000	56	374.25	2212.91	44.8825	821.153
188361	2000	57	360.167	2187.73	43.7103	810.651
188361	2000	58	350.375	2162.92	41.432	800.827
188361	2000	59	336.375	2134.81	37.6494	789.63
188361	2000	60	314.833	2109.08	38.7747	779.595
188361	2000	61	309.333	2084.19	37.0428	769.947
188361	2000	62	293	2057.58	38.4355	759.833
188361	2000	63	281.917	2027.88	39.5047	748.481
188361	2000	64	267.625	1997.95	37.5778	737.265
188361	2000	65	256	1967.92	37.5402	725.92
188361	2000	66	252.208	1936.37	38.2946	714.233
188361	2000	67	237.5	1909.99	37.8894	704.54
188361	2000	68	229.625	1879.24	40.1994	693.159
188361	2000	69	219.958	1847.01	42.4552	681.352
188361	2000	70	210.917	1815.74	41.7721	670.005
188361	2000	71	199.458	1781.5	42.0419	657.852
188361	2000	72	191.667	1748.62	39.6018	646.048
188361	2000	73	184	1715.49	41.5938	634.454
188361	2000	74	175.542	1681.2	40.6999	622.089
188361	2000	75	164.458	1649.1	40.1571	610.784
188361	2000	76	157.875	1619.18	39.6895	600.161
188361	2000	77	148.458	1585.05	38.7534	588.068
188361	2000	78	144.125	1551.46	38.9327	575.935
188361	2000	79	138.917	1521.34	37.8945	565.146
188361	2000	80	133.042	1489.31	38.8726	553.74
188361	2000	81	123.792	1456	37.8018	541.945
188361	2000	82	117.083	1424.48	34.5124	530.609
188361	2000	83	114.292	1393.92	35.2546	519.483
188361	2000	84	111.417	1363.49	33.1871	508.603
188361	2000	85	101.5	1333.12	31.0103	497.625
188361	2000	86	95.1667	1301.57	29.7466	486.189
188361	2000	87	94.625	1272.9	30.0137	475.509
188361	2000	88	83.875	1243.62	26.2984	464.747
188361	2000	89	81.0833	1214.78	24.3209	454.15
188361	2000	90	75.2917	1187.83	21.4829	443.945
188361	2000	91	68.5	1158.17	22.261	432.727
188361	2000	92	65.4167	1131.58	20.9991	423.02
188361	2000	93	65.5833	1099.99	19.3531	411.416
188361	2000	94	61.4583	1074.74	17.817	401.963
188361	2000	95	59	1047.48	17.888	391.79
188361	2000	96	53.9583	1019.78	15.5075	381.193
188361	2000	97	49.1667	995.694	13.4022	371.836
188361	2000	98	47.5417	971.847	12.7302	362.707
188361	2000	99	48	945.396	12.9658	352.871
188361	2000	100	45.625	922.069	12.19	344.176
188361	2000	101	42.4167	899.951	11.4396	335.726
188361	2000	102	40.5833	874.424	9.47131	326.236
188361	2000	103	38.875	853.146	9.27935	318.053
188361	2000	104	35.7083	830.951	8.5796	309.562
188361	2000	105	36	808.903	7.77761	301.228
188361	2000	106	32	786.326	7.20826	292.75
188361	2000	107	29.875	766.979	7.0524	285.491
188361	2000	108	28.2083	747.139	5.43338	278.172
188361	2000	109	27.7083	728.819	6.41489	271.378
188361	2000	110	27.3333	712.576	6.93333	265.06
188361	2000	111	25.5417	695.062	5.83483	258.556
188361	2000	112	27.1667	676.715	5.73945	251.548
188361	2000	113	24.8333	660.257	3.79858	245.554
188361	2000	114	23.6667	643.972	3.97057	239.356
188361	2000	115	21.375	627.174	4.22225	233.205
188361	2000	116	20.6667	610.826	3.46114	227.047
188361	2000	117	18.4167	596.438	3.0763	221.736
188361	2000	118	18.2917	583.361	4.05694	216.853
188361	2000	119	17.1667	568.618	3.57391	211.402
188361	2000	120	18.5417	553.201	3.31806	205.81
188361	2000	121	17.7917	537.257	2.62214	199.806
188361	2000	122	17.6667	523.396	2.58118	194.633
188361	2000	123	15.9583	511.556	2.69672	190.219
188361	2000	124	13.625	499.243	1.96288	185.512
188361	2000	125	14.7917	487.799	2.15606	181.362
188361	2000	126	14.125	476.549	2.19868	177.227
188361	2000	127	14.5417	466.479	2.0738	173.43
188361	2000	128	13.375	453.556	1.95933	168.649
188361	2000	129	13.4583	442.674	1.76565	164.566
188361	2000	130	12.7083	432.146	2.03484	160.759
188361	2000	131	12.375	420.264	1.9126	156.283
188361	2000	132	11.9583	410.188	1.71568	152.589
188361	2000	133	11.6667	400.174	1.69604	148.7
188361	2000	134	11.5417	389.882	1.88388	144.983
188361	2000	135	11.25	380.479	1.76672	141.437
188361	2000	136	10.7083	373.097	1.75973	138.685
188361	2000	137	10.5833	364.618	1.54689	135.673
188361	2000	138	10.4167	355.618	1.70116	132.408
188361	2000	139	10.75	347.701	1.77065	129.46
188361	2000	140	9.75	340.764	1.5166	126.966
188361	2000	141	9.04167	332.764	1.53135	123.944
188361	2000	142	9.875	324.458	1.98579	120.915
188361	2000	143	9.375	315.194	1.5732	117.505
188361	2000	144	7.95833	309.292	1.5268	115.408
188361	2000	145	8.70833	302.09	1.39832	112.733
188361	2000	146	7.375	294.257	1.57761	109.814
188361	2000	147	8.20833	288.021	1.61755	107.604
188361	2000	148	7.79167	280.75	1.73383	104.91
188361	2000	149	7.75	275.188	1.61871	102.863
188361	2000	150	7.95833	269.507	1.32156	100.801
188361	2000	151	6.83333	263.972	1.38927	98.9188
188361	2000	152	7.41667	256.132	1.46367	96.1019
188361	2000	153	7.875	251.757	1.98579	94.4979
188361	2000	154	7.45833	246.521	1.91684	92.6612
188361	2000	155	6.54167	240.264	1.60024	90.3456
188361	2000	156	6.16667	233.958	1.6587	87.9959
188361	2000	157	6.20833	227.549	1.48286	85.7264
188361	2000	158	5.375	222.625	1.17867	83.8843
188361	2000	159	5.70833	216.549	1.29496	81.7874
188361	2000	160	4.91667	213	0.928336	80.4244
188361	2000	161	5.66667	210.076	1.29059	79.3073
188361	2000	162	5	205.458	1.28157	77.8129
188361	2000	163	5.83333	200.076	1.2467	75.8744
188361	2000	164	4.70833	196.167	1.09077	74.4567
188361	2000	165	4.91667	192.188	1.2481	73.2088
188361	2000	166	4.66667	188.618	1.21275	71.8422
188361	2000	167	4.5	183.701	1.14991	70.1087
188361	2000	168	5.41667	179.16	1.3186	68.3536
188361	2000	169	5.20833	176.035	1.03511	67.2286
188361	2000	170	4.875	172.014	1.57982	65.7095
188361	2000	171	5.29167	168.444	1.08437	64.5278
188361	2000	172	5.04167	164.465	1.21167	63.0882
188361	2000	173	3.625	160.993	0.992788	61.7741
188361	2000	174	4.20833	156.319	1.46872	60.1628
188361	2000	175	4.33333	153.132	0.839775	58.9935
188361	2000	176	4.83333	150.764	1.30667	58.1575
188361	2000	177	3.66667	146.854	0.839775	56.6709
188361	2000	178	4.66667	144.292	1.08557	55.7487
188361	2000	179	4.58333	141.181	1.36016	54.566
365657	4000	0	1.66667	0	0.561688	0
365657	4000	1	2.16667	119.771	0.495883	43.9226
365657	4000	2	2.625	94.6667	0.686025	34.7239
365657	4000	3	3.375	102.861	0.72547	37.7348
365657	4000	4	3.66667	104.215	0.6639	38.2401
365657	4000	5	4	107.979	0.800167	39.6335
365657	4000	6	4.58333	111.597	0.88221	40.9907
