beta	links	attackRate	error
2	38352	86512.8	838.553
2	39589	88916.1	1155.4
2	40826	90813.5	898.636
2	42064	92231	667.845
2.25	2474	2214.25	38.4507
2.25	3711	2154.42	26.62
2.25	4948	2207.21	35.9426
2.25	6185	2256.79	38.9604
2.25	7423	2429.17	63.4426
2.25	8660	2692.75	134.954
2.25	9897	4023.25	452.217
2.25	11134	11839.2	1948.07
2.25	12371	22987.3	1890.24
2.25	13608	36607.3	726.817
2.25	14846	43197.2	1505.8
2.25	16083	52284.4	515.335
2.25	17320	57881	568.107
2.25	18557	63333.8	441.507
2.25	19794	68010.5	736.19
2.25	21032	72320.1	443.065
2.25	22269	76191.3	566.982
2.25	23506	80327.3	743.221
2.25	24743	86311.4	716.058
2.25	25980	91121.5	950.315
2.25	27217	93362.6	884.102
2.25	28455	95981.9	752.944
2.25	29692	103368	913.744
2.25	30929	106011	537.441
2.25	32166	107723	684.011
2.25	33403	110569	588.738
2.25	34640	112289	546.342
2.25	35878	115333	386.896
2.25	37115	118570	538.775
2.25	38352	119569	576.109
2.25	39589	122161	494.503
2.25	40826	124128	620.514
2.25	42064	125371	627.911
2.5	2474	2406.92	43.0492
2.5	3711	2291.21	31.5066
2.5	4948	2295.79	24.889
2.5	6185	2484	47.4064
2.5	7423	2873.67	192.053
2.5	8660	5135.38	782.006
2.5	9897	18823.1	2347.02
2.5	11134	39147.5	2320.03
2.5	12371	50817.5	451.275
2.5	13608	59994.9	533.882
2.5	14846	66883.2	499.63
2.5	16083	74868.1	678.823
2.5	17320	80802.1	643.13
2.5	18557	87813.3	879.845
2.5	19794	93364.2	1041.48
2.5	21032	99679.6	903.983
2.5	22269	104246	854.463
2.5	23506	109000	692.249
2.5	24743	116451	560.41
2.5	25980	120258	514.811
2.5	27217	123019	578.128
2.5	28455	125710	437.304
2.5	29692	131325	524.768
2.5	30929	133787	431.285
2.5	32166	135144	386.718
2.5	33403	137719	482.021
2.5	34640	139731	452.167
2.5	35878	142711	488.073
2.5	37115	145220	499.618
2.5	38352	146525	484.517
2.5	39589	148998	440.142
2.5	40826	150901	449.999
2.5	42064	152004	405.31
2.75	2474	2565.5	66.6856
2.75	3711	2390.46	44.7186
2.75	4948	2448.71	32.4103
2.75	6185	2711.88	85.6446
2.75	7423	6313.33	845.572
2.75	8660	26495.2	2668.2
2.75	9897	47185.2	644.097
2.75	11134	62816.1	674.741
2.75	12371	70366.9	558.636
2.75	13608	80794.8	667.286
2.75	14846	88867.8	740.249
2.75	16083	99184.3	879.755
2.75	17320	107964	732.518
2.75	18557	115091	499.674
2.75	19794	120433	675.719
2.75	21032	125924	539.015
2.75	22269	130571	428.473
2.75	23506	134524	592.63
2.75	24743	140325	552.303
2.75	25980	145000	475.107
2.75	27217	147119	453.011
2.75	28455	150276	424.97
2.75	29692	155958	593.589
2.75	30929	158440	674.345
2.75	32166	159691	693.266
2.75	33403	163168	496.363
2.75	34640	165226	706.61
2.75	35878	168375	647.714
2.75	37115	171320	577.67
2.75	38352	172630	756.187
2.75	39589	175672	644.981
2.75	40826	178279	829.404
2.75	42064	179810	668.985
3	2474	2782.54	75.6075
3	3711	2515	61.8451
3	4948	2616.71	54.8046
3	6185	3671.08	407.328
3	7423	24071.2	1649.3
3	8660	49724	581.298
