beta	population	links	attackRate	error
1.75	4.82206e+06	37216	4683.46	711.844
1.75	5.05282e+06	38908	4720.04	728.791
1.75	5.35506e+06	40600	4442.83	738.38
1.75	5.53195e+06	42291	5194.71	678.977
1.75	5.68707e+06	43983	5135.12	727.917
1.75	5.84476e+06	45675	4808.96	760.101
1.75	5.98567e+06	47366	5128.54	728.134
1.75	6.13119e+06	49058	5028.46	766.219
1.75	6.21772e+06	50750	5527.92	681.792
1.75	6.26408e+06	52441	5159.58	744.849
1.75	6.30383e+06	54133	4741.62	789.119
1.75	6.35252e+06	55825	5181.33	743.348
1.75	6.43541e+06	57517	5731.29	651.763
2	320647	3383	2628.21	23.6413
2	549654	5075	2635.29	20.3318
2	747440	6766	2630.71	19.6512
2	961081	8458	2642.75	18.8168
2	1.21668e+06	10150	2631.92	20.603
2	1.40578e+06	11841	2685	44.6946
2	1.57934e+06	13533	2757.17	103.901
2	1.83623e+06	15225	3271.33	299.882
2	2.05858e+06	16916	3345.25	392.44
2	2.33126e+06	18608	3709.67	530.841
2	2.63366e+06	20300	5204.46	477.052
2	2.88785e+06	21991	4581	672.214
2	3.06082e+06	23683	4963.75	682.361
2	3.30626e+06	25375	4964.58	728.981
2	3.50389e+06	27066	5349.04	719.835
2	3.79999e+06	28758	5455.12	738.95
2	4.02734e+06	30450	5206.33	813.336
2	4.23921e+06	32141	5398.5	797.283
2	4.45972e+06	33833	5120.5	854.647
2	4.66174e+06	35525	5549.12	842.269
2	4.82206e+06	37216	4432.38	870.862
2	5.05282e+06	38908	6101.54	733.197
2	5.35506e+06	40600	5983.83	804.78
2	5.53195e+06	42291	5236.21	901.505
2	5.68707e+06	43983	6217.96	756.486
2	5.84476e+06	45675	5296.92	919.535
2	5.98567e+06	47366	5879.17	850.051
2	6.13119e+06	49058	6712.25	629.496
2	6.21772e+06	50750	6553.88	721.101
2	6.26408e+06	52441	6151.29	827.911
2	6.30383e+06	54133	5732.42	894.585
2	6.35252e+06	55825	6336.08	783.619
2	6.43541e+06	57517	5972.75	873.656
2.25	320647	3383	2634.29	21.267
2.25	549654	5075	2635.33	20.6535
2.25	747440	6766	2638.71	22.8444
2.25	961081	8458	2674.04	29.7659
2.25	1.21668e+06	10150	2749.88	79.8895
2.25	1.40578e+06	11841	2799.25	149.501
2.25	1.57934e+06	13533	3491.71	410.814
2.25	1.83623e+06	15225	3980.25	508.824
2.25	2.05858e+06	16916	3934.88	625.324
2.25	2.33126e+06	18608	4598.62	731.622
2.25	2.63366e+06	20300	5066.67	774.914
2.25	2.88785e+06	21991	5467.33	816.828
2.25	3.06082e+06	23683	5891.42	763.168
2.25	3.30626e+06	25375	5779.79	814.581
2.25	3.50389e+06	27066	6086.04	811.026
2.25	3.79999e+06	28758	5568.88	923.254
2.25	4.02734e+06	30450	6015.38	885.996
2.25	4.23921e+06	32141	5879.5	931.63
2.25	4.45972e+06	33833	5498.04	988.425
2.25	4.66174e+06	35525	6357.58	882.185
2.25	4.82206e+06	37216	7009.38	672.021
2.25	5.05282e+06	38908	6424.96	895.55
2.25	5.35506e+06	40600	6010.38	982.736
2.25	5.53195e+06	42291	6922.67	784.078
2.25	5.68707e+06	43983	7294.71	575.685
2.25	5.84476e+06	45675	6062.79	996.831
2.25	5.98567e+06	47366	6754	858.887
2.25	6.13119e+06	49058	6534.71	919.001
2.25	6.21772e+06	50750	6562.12	922.497
2.25	6.26408e+06	52441	6543.17	927.508
2.25	6.30383e+06	54133	6967.83	795.523
