beta	population	links	attackRate	error
4	254309	428	1155.92	29.3367
4	317359	642	1103.12	26.0567
4	362349	856	1131.38	17.9015
4	431685	1070	1113.79	26.3657
4	494050	1284	1127.42	28.4897
4	541137	1499	1167.83	25.9873
4	581274	1713	1197.42	32.3897
4	633768	1927	1243.25	33.6964
4	690239	2141	1301.54	44.8829
4	743548	2355	1484.25	88.3169
4	796662	2569	1914.58	185.1
4	868351	2783	3488.12	720.799
4	929092	2998	11629.4	1752.6
4	1.00066e+06	3212	32009.9	757.413
4	1.04383e+06	3426	41477	696.714
4	1.09393e+06	3640	50705.8	593.107
4	1.14797e+06	3854	58234	674.694
4	1.20545e+06	4068	66355.8	424.641
4	1.24595e+06	4282	70695.8	479.176
4	1.31416e+06	4497	77181.4	388.752
4	1.37685e+06	4711	83325	303.267
4	1.41758e+06	4925	86234.5	301.161
4	1.46265e+06	5139	89226.1	317.095
4	1.51289e+06	5353	92772	278.474
4	1.54132e+06	5567	94572.7	321.284
4	1.57116e+06	5781	96415.9	286.348
4	1.58996e+06	5996	97187	317.241
4	1.62127e+06	6210	98872.7	300.288
4	1.65137e+06	6424	100568	212.273
4	1.71541e+06	6638	103531	231.675
4	1.74036e+06	6852	104742	239.423
4	1.74948e+06	7066	105041	216.304
4	1.77198e+06	7281	105820	215.912
