beta	population	links	attackRate	error
1	291757	3228	3964.75	45.2869
1	451008	4843	3922.62	30.0369
1	656177	6457	3888.04	34.6138
1	894758	8072	3866.04	36.6727
1	1.07291e+06	9686	3839.62	33.7087
1	1.29444e+06	11300	3837.79	28.6658
1	1.49631e+06	12915	3821.67	37.6815
1	1.64747e+06	14529	3806.92	34.0143
1	1.84391e+06	16144	3807.79	41.6682
1	2.02205e+06	17758	3789.5	27.8358
1	2.15048e+06	19372	3837.04	25.4016
1	2.26663e+06	20987	3825.08	43.7411
1	2.42622e+06	22601	3828.46	29.9253
1	2.56786e+06	24216	3762.83	28.0921
1	2.79274e+06	25830	3859.46	34.3758
1	3.03204e+06	27445	3790.29	33.0904
1	3.24253e+06	29059	3809.67	29.0671
1	3.42364e+06	30673	3808.75	38.4658
1	3.63035e+06	32288	3834.75	37.097
1	3.85042e+06	33902	3844.33	38.0184
1	4.06753e+06	35517	3819.54	29.9144
1	4.27453e+06	37131	3825.88	40.9606
1	4.50491e+06	38745	3843.83	27.397
1	4.75e+06	40360	3876.88	36.4841
1	4.98689e+06	41974	3830.75	36.0433
1	5.24721e+06	43589	3886.42	44.914
1	5.48271e+06	45203	3888.62	33.0115
1	5.72457e+06	46817	3848.17	41.8681
1	5.9825e+06	48432	3851	39.8319
1	6.22025e+06	50046	3851.58	41.0842
1	6.46905e+06	51661	3881.79	38.6041
1	6.75531e+06	53275	3925.58	42.4742
1	7.1025e+06	54890	3934.83	37.1393
1.25	291757	3228	4591.38	87.5778
1.25	451008	4843	4422.04	54.0584
1.25	656177	6457	4387.25	33.1328
1.25	894758	8072	4287.71	34.2449
1.25	1.07291e+06	9686	4250.25	41.6687
1.25	1.29444e+06	11300	4233.12	47.205
1.25	1.49631e+06	12915	4260.75	50.9884
1.25	1.64747e+06	14529	4240.33	43.1666
1.25	1.84391e+06	16144	4200.75	39.8847
1.25	2.02205e+06	17758	4228.38	41.672
1.25	2.15048e+06	19372	4199.75	54.4253
1.25	2.26663e+06	20987	4190.96	40.1929
1.25	2.42622e+06	22601	4201.71	48.5863
1.25	2.56786e+06	24216	4200.04	49.5271
1.25	2.79274e+06	25830	4196.79	40.0238
1.25	3.03204e+06	27445	4188.04	37.0168
1.25	3.24253e+06	29059	4229.71	71.4029
1.25	3.42364e+06	30673	4288.79	61.4155
1.25	3.63035e+06	32288	4270.71	46.9465
1.25	3.85042e+06	33902	4277.29	58.0875
1.25	4.06753e+06	35517	4252.42	54.734
1.25	4.27453e+06	37131	4350	87.881
1.25	4.50491e+06	38745	4341.21	87.4239
1.25	4.75e+06	40360	4431.58	125.403
1.25	4.98689e+06	41974	4457.92	76.5811
1.25	5.24721e+06	43589	4392.62	104.265
1.25	5.48271e+06	45203	4534.62	162.377
1.25	5.72457e+06	46817	4904.5	258.371
1.25	5.9825e+06	48432	4770.88	241.18
1.25	6.22025e+06	50046	4934.54	285.484
1.25	6.46905e+06	51661	4905.38	312.126
1.25	6.75531e+06	53275	5052.79	324.022
1.25	7.1025e+06	54890	5222.96	325.439
1.5	291757	3228	6466.12	368.651
1.5	451008	4843	5207.71	116.682
1.5	656177	6457	5015.71	71.6464
1.5	894758	8072	4949.96	60.056
1.5	1.07291e+06	9686	4817.54	45.6871
1.5	1.29444e+06	11300	4769.83	65.2419
1.5	1.49631e+06	12915	4791.83	49.6582
1.5	1.64747e+06	14529	4764.04	75.8705
1.5	1.84391e+06	16144	4711.33	55.7038
1.5	2.02205e+06	17758	4744.92	69.847
1.5	2.15048e+06	19372	4679.96	61.1498
1.5	2.26663e+06	20987	4726.33	79.8157
1.5	2.42622e+06	22601	4758.46	58.4643
1.5	2.56786e+06	24216	4863.5	88.2424
1.5	2.79274e+06	25830	4867.88	114.993
1.5	3.03204e+06	27445	5003.21	185.245
1.5	3.24253e+06	29059	5113.96	200.718
1.5	3.42364e+06	30673	5594	381.417
1.5	3.63035e+06	32288	5487.08	377.177
1.5	3.85042e+06	33902	5875.46	494.418
1.5	4.06753e+06	35517	6290	601.72
1.5	4.27453e+06	37131	7043.62	809.174
1.5	4.50491e+06	38745	7451.83	777.344
1.5	4.75e+06	40360	9075.58	967.625
1.5	4.98689e+06	41974	9536.42	1205.99
1.5	5.24721e+06	43589	9388.62	1141.32
1.5	5.48271e+06	45203	10392.7	1234.88
1.5	5.72457e+06	46817	11522.4	1134.74
1.5	5.9825e+06	48432	12611.3	1100.36
1.5	6.22025e+06	50046	12206	1351.78
1.5	6.46905e+06	51661	13317.5	1230.3
1.5	6.75531e+06	53275	14274.4	1002.62
1.5	7.1025e+06	54890	15652.6	890.257
1.75	291757	3228	26332.4	2265.65
1.75	451008	4843	8618.33	784.813
1.75	656177	6457	6379.38	237.402
1.75	894758	8072	6039.5	203.639
1.75	1.07291e+06	9686	5710.12	108.713
1.75	1.29444e+06	11300	5705.71	97.2974
1.75	1.49631e+06	12915	5684.88	141.486
1.75	1.64747e+06	14529	5670.67	109.23
1.75	1.84391e+06	16144	5547.58	94.4627
1.75	2.02205e+06	17758	5654.29	134.474
1.75	2.15048e+06	19372	5636.33	214.491
1.75	2.26663e+06	20987	5722.38	219.42
1.75	2.42622e+06	22601	6098.54	330.11
1.75	2.56786e+06	24216	6363.42	464.438
1.75	2.79274e+06	25830	8059.46	888.617
1.75	3.03204e+06	27445	9759.54	959.886
1.75	3.24253e+06	29059	11668.4	1128.75
