beta	population	links	attackRate	error
1	296268	1274	1861.79	19.0866
1	458089	2549	1845.17	21.5902
1	621453	3824	1849.96	18.4206
1	779560	5098	1839.46	16.5552
1	943402	6373	1849.96	26.4346
1	1.08802e+06	7648	1850.42	18.1824
1	1.25022e+06	8922	1893.33	21.1279
1	1.3805e+06	10197	1871.29	25.3256
1	1.49277e+06	11472	1870.92	19.8547
1	1.60329e+06	12746	1872	25.3779
1	1.74049e+06	14021	1875.58	22.3147
1	1.81623e+06	15296	1909.12	18.4108
1	1.93616e+06	16570	1895.54	18.5267
1	2.05604e+06	17845	1921.38	23.3644
1	2.15668e+06	19120	1922.5	21.1382
1	2.26753e+06	20394	1915.88	28.7962
1	2.36611e+06	21669	1922.25	26.1832
1	2.45415e+06	22944	1934.54	33.3663
1	2.57496e+06	24218	1945.62	27.9963
1	2.74394e+06	25493	1930.71	32.3244
1	2.82984e+06	26768	1943.08	27.2848
1	2.92561e+06	28042	1982.08	23.3083
1	3.09033e+06	29317	2017.21	23.9618
1	3.22191e+06	30592	1991.38	27.7579
1	3.28966e+06	31866	1974.29	32.8214
1	3.38307e+06	33141	1969.33	28.9166
1	3.47383e+06	34416	2001.17	24.4658
1	3.59757e+06	35690	2028.88	29.9853
1	3.72292e+06	36965	2012.25	33.4389
1	3.80114e+06	38240	2006.88	36.8854
1	3.93222e+06	39514	1999.08	39.3303
1	4.04768e+06	40789	2021.42	44.2591
1	4.12481e+06	42064	2041	42.0631
1.25	296268	1274	1951.62	25.5362
1.25	458089	2549	1903.58	23.0214
1.25	621453	3824	1887.21	20.0306
1.25	779560	5098	1891.29	25.1619
1.25	943402	6373	1919.46	16.0081
1.25	1.08802e+06	7648	1929.04	24.8499
1.25	1.25022e+06	8922	1939.38	22.1242
1.25	1.3805e+06	10197	1976.04	22.1197
1.25	1.49277e+06	11472	1972.54	22.3658
1.25	1.60329e+06	12746	1986.83	32.9019
1.25	1.74049e+06	14021	1994.79	27.2506
1.25	1.81623e+06	15296	2012.08	34.3369
1.25	1.93616e+06	16570	2051.29	29.4077
1.25	2.05604e+06	17845	2051.71	37.0984
1.25	2.15668e+06	19120	2081.08	34.3843
1.25	2.26753e+06	20394	2126.92	38.1137
1.25	2.36611e+06	21669	2128.79	37.1352
1.25	2.45415e+06	22944	2159.38	54.7149
1.25	2.57496e+06	24218	2177.58	40.7171
1.25	2.74394e+06	25493	2207.79	52.9381
1.25	2.82984e+06	26768	2200.79	49.1132
1.25	2.92561e+06	28042	2188.54	61.2755
1.25	3.09033e+06	29317	2280.46	94.8728
1.25	3.22191e+06	30592	2281.08	57.3309
1.25	3.28966e+06	31866	2330.08	94.9851
1.25	3.38307e+06	33141	2383.46	136.408
1.25	3.47383e+06	34416	2354.71	71.8973
1.25	3.59757e+06	35690	2451.62	138.05
1.25	3.72292e+06	36965	2411.17	98.1093
1.25	3.80114e+06	38240	2436.04	93.6884
1.25	3.93222e+06	39514	2571.58	98.7288
1.25	4.04768e+06	40789	2643.5	156.337
1.25	4.12481e+06	42064	2564.71	159.308
1.5	296268	1274	2044.12	21.7941
1.5	458089	2549	1988.75	19.3132
1.5	621453	3824	1974.42	27.3737
1.5	779560	5098	1978.42	24.4951
1.5	943402	6373	2003.46	22.225
1.5	1.08802e+06	7648	2006.75	21.63
1.5	1.25022e+06	8922	2068.25	27.2001
1.5	1.3805e+06	10197	2067.25	37.3047
1.5	1.49277e+06	11472	2137.33	33.9075
1.5	1.60329e+06	12746	2184.21	36.9038
1.5	1.74049e+06	14021	2254.17	50.3495
1.5	1.81623e+06	15296	2203.62	51.7754
1.5	1.93616e+06	16570	2274.62	66.918
