beta	population	links	attackRate	error
1.75	3.78967e+06	33902	7118.96	721.168
1.75	3.98623e+06	35517	6620.62	646.261
1.75	4.19123e+06	37131	7515.21	686.684
1.75	4.38526e+06	38745	7933.58	793.615
1.75	4.61479e+06	40360	8507.54	979.296
1.75	4.83266e+06	41974	9391.08	971.627
1.75	5.08978e+06	43589	9925	1196.84
1.75	5.31637e+06	45203	10757.8	1046.99
1.75	5.56707e+06	46817	11004.7	1201.96
1.75	5.83522e+06	48432	11503.8	1319.08
1.75	6.11206e+06	50046	12083.1	1229.87
1.75	6.38326e+06	51661	13074.4	1539.57
1.75	6.76343e+06	53275	14587.2	1438.09
1.75	7.1025e+06	54890	14444.6	1373.61
2	311489	3228	22325.7	1673.15
2	464692	4843	7335.17	369.719
2	648186	6457	6733.75	185.35
2	854108	8072	6395	184.998
2	1.08123e+06	9686	6232.62	103.809
2	1.25862e+06	11300	6051.17	83.0972
2	1.46489e+06	12915	6030.58	113.171
2	1.66283e+06	14529	6105.25	113.97
2	1.85503e+06	16144	6102.42	88.7832
2	2.00387e+06	17758	6039.46	130.816
2	2.18957e+06	19372	6472.46	356.83
2	2.35983e+06	20987	6564.71	244.099
2	2.506e+06	22601	7149	506.165
2	2.65109e+06	24216	6911.21	627.505
2	2.83137e+06	25830	9118.92	893.962
2	3.00554e+06	27445	10294	1117.64
2	3.17104e+06	29059	10655.4	1182.38
2	3.35167e+06	30673	12703.6	1354.69
2	3.56092e+06	32288	12800.6	1617.91
2	3.78967e+06	33902	15686.6	1123.89
2	3.98623e+06	35517	16323.7	1517.03
2	4.19123e+06	37131	18610.8	1426
2	4.38526e+06	38745	18938.4	1682.88
2	4.61479e+06	40360	20698	1672.55
2	4.83266e+06	41974	22792.2	1376.06
2	5.08978e+06	43589	25158.1	1998.18
2	5.31637e+06	45203	26793	1365.05
2	5.56707e+06	46817	29543.5	1497.64
2	5.83522e+06	48432	30913.2	2196.56
2	6.11206e+06	50046	34091.1	1624.81
2	6.38326e+06	51661	35547.3	1566.17
2	6.76343e+06	53275	37504.1	1663.07
2	7.1025e+06	54890	39221.9	1710.56
2.25	311489	3228	72121.3	1929.97
2.25	464692	4843	19299.8	1826.8
2.25	648186	6457	10962.5	1006.66
2.25	854108	8072	9784.42	663.419
2.25	1.08123e+06	9686	8060.75	380.384
2.25	1.25862e+06	11300	7656.08	185.016
2.25	1.46489e+06	12915	7611.25	233.683
2.25	1.66283e+06	14529	7645.62	251.99
2.25	1.85503e+06	16144	8371.88	522.214
2.25	2.00387e+06	17758	9106.62	725.407
2.25	2.18957e+06	19372	10853.3	858.342
2.25	2.35983e+06	20987	13550.8	1001.97
2.25	2.506e+06	22601	14841	1506.04
2.25	2.65109e+06	24216	16475.4	1258.66
2.25	2.83137e+06	25830	20009.1	708.751
2.25	3.00554e+06	27445	22000	1705.91
