beta	population	links	attackRate	error
2.75	8.01661e+06	89697	100884	1399.86
2.75	8.55237e+06	94182	102864	1235.34
2.75	8.94087e+06	98667	105004	1310.52
2.75	9.40015e+06	103152	106448	767.288
2.75	9.86221e+06	107637	105368	1764.14
2.75	1.02122e+07	112121	108132	1219.77
2.75	1.05595e+07	116606	108286	1533.55
2.75	1.09688e+07	121091	108719	1836.66
2.75	1.12466e+07	125576	110143	1411.04
2.75	1.15443e+07	130061	111782	989.979
2.75	1.18168e+07	134546	111370	1450.58
2.75	1.20824e+07	139031	112207	813.665
2.75	1.22442e+07	143516	111761	1131.4
2.75	1.23495e+07	148001	112171	1250.45
