population	links	time	infected	error
470296	5000	0	0	0
470296	5000	1	2779.5	21.0617
470296	5000	2	2186.04	19.0071
470296	5000	3	2154.46	22.0937
470296	5000	4	2050.25	22.2789
470296	5000	5	1970.17	21.9546
470296	5000	6	1903.08	20.8327
470296	5000	7	1846.75	20.6863
470296	5000	8	1804.08	21.7393
470296	5000	9	1766.96	22.4262
470296	5000	10	1741.88	24.5166
470296	5000	11	1713.62	24.3858
470296	5000	12	1702.62	22.4936
470296	5000	13	1703.21	25.8194
470296	5000	14	1706.96	26.3547
470296	5000	15	1720.33	28.7401
470296	5000	16	1746.17	31.1589
470296	5000	17	1763.75	38.237
470296	5000	18	1806.21	40.7346
470296	5000	19	1839.92	51.1003
470296	5000	20	1891.88	55.9854
470296	5000	21	1942.08	63.5086
470296	5000	22	2003.08	68.6765
470296	5000	23	2081.33	80.3529
470296	5000	24	2165.17	88.6056
470296	5000	25	2272.29	95.084
470296	5000	26	2379.21	107.781
470296	5000	27	2505.17	122.52
470296	5000	28	2644.83	131.043
470296	5000	29	2807	149.503
470296	5000	30	2981.62	162.062
470296	5000	31	3169.04	175.239
470296	5000	32	3377.75	194.871
470296	5000	33	3608.67	212.533
470296	5000	34	3849.21	230.156
470296	5000	35	4131.42	253.439
470296	5000	36	4443.08	279.596
470296	5000	37	4745.12	301.358
470296	5000	38	5103.46	326.136
470296	5000	39	5497.29	349.623
470296	5000	40	5889.58	372.835
470296	5000	41	6310.04	409.05
470296	5000	42	6789.21	434.976
470296	5000	43	7291.08	471.752
470296	5000	44	7829.29	496.492
470296	5000	45	8371.67	528.708
470296	5000	46	8964.25	548.597
470296	5000	47	9573.96	581.299
470296	5000	48	10212.5	601.19
470296	5000	49	10856.3	619.584
470296	5000	50	11515	632.499
470296	5000	51	12193.8	647.165
470296	5000	52	12876.6	655.912
470296	5000	53	13565.3	654.626
470296	5000	54	14227.3	651.617
470296	5000	55	14907.5	643.972
470296	5000	56	15570.3	636.547
470296	5000	57	16205.4	615.185
470296	5000	58	16816.6	599.475
470296	5000	59	17421.8	566.39
470296	5000	60	18002.7	537.794
470296	5000	61	18530.9	510.346
470296	5000	62	19076.8	489.233
470296	5000	63	19565.8	459.566
470296	5000	64	20012.5	430.422
470296	5000	65	20436.7	426.602
