population	links	time	infected	error
281901	1237	0	0	0
281901	1237	1	1616.46	9.92348
281901	1237	2	1274.17	11.3784
281901	1237	3	1146.71	11.9406
281901	1237	4	1009	11.8496
281901	1237	5	906	10.5298
281901	1237	6	818.375	11.7255
281901	1237	7	751.083	12.0152
281901	1237	8	697.083	12.7727
281901	1237	9	651.875	13.058
281901	1237	10	624.042	13.3818
281901	1237	11	603.292	13.3766
281901	1237	12	584.292	16.2036
281901	1237	13	575	18.3891
281901	1237	14	575.458	20.2301
281901	1237	15	577.625	20.9921
281901	1237	16	585.042	25.0132
281901	1237	17	603.208	27.0505
281901	1237	18	618.458	29.8839
281901	1237	19	642.208	34.1874
281901	1237	20	665.708	37.2311
281901	1237	21	695.5	40.9546
281901	1237	22	730.5	45.3273
281901	1237	23	763.542	48.4334
281901	1237	24	811.417	51.45
281901	1237	25	864.042	55.1249
281901	1237	26	925.125	60.6468
281901	1237	27	992.208	70.2216
281901	1237	28	1063.12	78.3069
281901	1237	29	1140.5	88.0847
281901	1237	30	1226	97.2509
281901	1237	31	1318.67	107.858
281901	1237	32	1429.54	118.998
281901	1237	33	1528.46	132.752
281901	1237	34	1657.17	146.61
281901	1237	35	1792.17	161.264
281901	1237	36	1932.96	173.953
281901	1237	37	2101.75	193.031
281901	1237	38	2263.46	208.028
281901	1237	39	2457.17	227.849
281901	1237	40	2667.17	248.037
281901	1237	41	2886.25	269.943
281901	1237	42	3116.83	292.758
281901	1237	43	3364.08	314.356
281901	1237	44	3639.71	339.679
281901	1237	45	3913.21	362.647
281901	1237	46	4210.62	381.5
281901	1237	47	4530.29	411.493
281901	1237	48	4878.79	438.99
281901	1237	49	5231.88	464.858
281901	1237	50	5594.29	489.755
281901	1237	51	5994.5	511.338
281901	1237	52	6373.42	533.356
281901	1237	53	6764.38	549.626
281901	1237	54	7150.04	562.26
281901	1237	55	7555.08	567.438
281901	1237	56	7947.83	578.963
281901	1237	57	8353.29	580.713
281901	1237	58	8745	579.896
281901	1237	59	9113.08	562.48
281901	1237	60	9499.58	555.749
281901	1237	61	9829.08	542.118
281901	1237	62	10152	517.107
281901	1237	63	10414.4	497.355
281901	1237	64	10677.2	460.788
281901	1237	65	10911.7	431.94
281901	1237	66	11117.5	402.568
281901	1237	67	11281.7	368.293
281901	1237	68	11425.2	348.87
281901	1237	69	11521	321.744
281901	1237	70	11570.6	291.381
281901	1237	71	11586.8	277.467
281901	1237	72	11549.2	264.335
281901	1237	73	11514.1	257.49
281901	1237	74	11441.8	251.908
281901	1237	75	11323.3	265.798
281901	1237	76	11189.1	277.892
281901	1237	77	11041.9	299.696
281901	1237	78	10862.3	318.548
281901	1237	79	10703.8	330.862
281901	1237	80	10499.2	348.982
281901	1237	81	10299.9	356.775
281901	1237	82	10074.5	369.211
281901	1237	83	9869.04	378.339
